time,stage,confidence,theta_alpha,beta_rel,motion_rms,fac_rate,signal,eog_on,eog_sacc
5.0,Wake,0.7,1.134,0.7937,16.6747,0.0,1.0,0.0,0.0
10.1,Wake,0.7,1.1808,0.7981,16.7356,0.0,1.0,0.0,0.0
15.3,Wake,0.7,1.2633,0.7497,16.6482,0.0,1.0,0.0,0.0
20.4,Wake,0.7,1.2676,0.7702,16.4825,0.0,1.0,0.0,0.0
25.5,Wake,0.7,1.1471,0.7682,16.3245,0.0,1.0,0.0,0.0
30.6,Wake,0.7,1.1971,0.7413,16.1265,0.0,1.0,0.0,0.0
35.7,Wake,0.7,1.0722,0.738,15.8111,0.0,1.0,0.0,0.0
40.9,Wake,0.7,0.9149,0.6692,15.8111,0.0,1.0,0.0,0.0
46.0,Wake,0.7,0.7392,0.6324,15.8476,0.0,1.0,0.0,0.0
51.1,Wake,0.7,0.6318,0.5806,18.8033,0.0,1.0,0.0,0.0
56.2,Wake,0.7,0.6146,0.5629,19.121,0.0,1.0,0.0,0.0
61.4,Wake,0.7,0.5236,0.5693,19.1759,0.0,1.0,0.0,0.0
66.5,Wake,0.7,0.495,0.5448,19.2708,0.0,1.0,0.0,0.0
71.6,Wake,0.7,0.5021,0.5635,19.2888,0.0,1.0,0.0,0.0
76.7,Wake,0.7,0.6329,0.6068,19.2438,0.0,1.0,0.0,0.0
81.8,Wake,0.7,0.7628,0.6754,19.2709,0.0,1.0,0.0,0.0
87.0,Wake,0.7,1.985,0.5274,19.2082,0.0,1.0,0.0,0.0
92.1,Wake,0.7,3.777,0.285,19.3117,0.0,1.0,0.0,0.0
97.2,Wake,0.7,5.4216,0.142,19.4186,0.0,1.0,0.0,0.0
102.3,Wake,0.7,5.5291,0.1501,19.8658,0.0,1.0,0.0,0.0
107.5,Wake,0.7,5.2279,0.1571,30.6906,0.0,1.0,0.0,0.0
112.6,Wake,0.7,5.3429,0.1497,37.4624,0.0,1.0,0.0,0.0
117.7,Wake,0.7,5.2791,0.1471,42.0123,0.0,1.0,0.0,0.0
122.8,Wake,0.7,5.3385,0.1454,48.7551,0.0,1.0,0.0,0.0
127.9,Wake,0.7,4.5376,0.2011,50.4118,0.0,1.0,0.0,0.0
133.1,Wake,0.7,4.3849,0.181,50.7648,0.0,1.0,0.0,0.0
138.2,Wake,0.7,3.1627,0.27,50.8945,0.0,1.0,0.0,0.0
143.3,Wake,0.7,2.0909,0.3683,50.8908,0.0,1.0,0.0,0.0
148.4,Wake,0.7,2.039,0.3653,50.8775,0.0,1.0,0.0,0.0
153.6,Wake,0.7,0.7726,0.5158,50.8733,0.0,1.0,0.0,0.0
158.7,Wake,0.7,0.576,0.5967,50.848,0.0,1.0,0.0,0.0
